-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Daily Averaged Data 
Dates (month/day/year): 01/04/1995 through 05/30/2020 
Location: Latitude  27.6895   Longitude 85.3614 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = 1653.16 meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
T2M MERRA2 1/2x1/2 Temperature at 2 Meters (C) 
T2M_RANGE MERRA2 1/2x1/2 Temperature Range at 2 Meters (C) 
TS MERRA2 1/2x1/2 Earth Skin Temperature (C) 
PRECTOT MERRA2 1/2x1/2 Precipitation (mm day-1) 
-END HEADER-
LAT,LON,YEAR,MO,DY,PRECTOT,T2M_RANGE,TS,T2M
27.68951,85.36141,1995,08,13,   31.77,    3.67,   19.83,   19.73
27.68951,85.36141,1995,08,14,   14.63,    6.82,   20.85,   20.11
27.68951,85.36141,1995,08,15,    3.32,    7.00,   21.11,   20.54
27.68951,85.36141,1995,08,16,    3.70,    4.79,   20.38,   19.84
27.68951,85.36141,1995,08,17,    0.46,    7.54,   21.52,   20.93
27.68951,85.36141,1995,08,18,    0.06,    6.64,   20.60,   20.10
27.68951,85.36141,1995,08,19,    0.33,    6.42,   21.35,   20.74
27.68951,85.36141,1995,08,20,    1.98,    4.95,   20.91,   20.29
27.68951,85.36141,1995,08,21,    2.92,    5.16,   20.30,   19.94
27.68951,85.36141,1995,08,22,    8.86,    5.51,   20.40,   20.12
27.68951,85.36141,1995,08,23,    1.41,    6.63,   21.27,   20.83
27.68951,85.36141,1995,08,24,    0.23,    6.43,   21.97,   21.42
27.68951,85.36141,1995,08,25,    0.53,    6.54,   22.35,   21.63
27.68951,85.36141,1995,08,26,    1.58,    6.83,   21.94,   21.17
27.68951,85.36141,1995,08,27,    7.89,    5.20,   21.26,   20.75
27.68951,85.36141,1995,08,28,    0.63,    6.59,   21.84,   21.26
27.68951,85.36141,1995,08,29,    2.54,    4.82,   20.77,   20.61
27.68951,85.36141,1995,08,30,    3.25,    5.73,   20.72,   20.56
27.68951,85.36141,1995,08,31,    0.27,    7.94,   22.08,   21.92
27.68951,85.36141,1995,09,01,    0.01,    7.09,   22.14,   22.17
27.68951,85.36141,1995,09,02,    0.05,    4.39,   21.06,   21.25
27.68951,85.36141,1995,09,03,    0.47,    6.19,   21.18,   20.59
27.68951,85.36141,1995,09,04,    0.68,    5.38,   20.64,   20.09
27.68951,85.36141,1995,09,05,    0.41,    6.30,   20.72,   20.30
27.68951,85.36141,1995,09,06,    2.67,    5.28,   19.63,   19.46
27.68951,85.36141,1995,09,07,    2.34,    6.79,   20.13,   19.64
27.68951,85.36141,1995,09,08,    0.43,    7.38,   20.69,   19.90
27.68951,85.36141,1995,09,09,    0.00,    8.63,   20.13,   19.56
27.68951,85.36141,1995,09,10,    0.00,    9.35,   20.36,   19.90
27.68951,85.36141,1995,09,11,    0.00,    7.84,   20.84,   20.20
27.68951,85.36141,1995,09,12,    0.00,    8.12,   21.13,   20.16
27.68951,85.36141,1995,09,13,    0.04,    6.50,   20.28,   19.68
27.68951,85.36141,1995,09,14,    0.12,    8.52,   21.10,   20.30
27.68951,85.36141,1995,09,15,    0.09,    8.50,   21.49,   20.57
27.68951,85.36141,1995,09,16,    2.17,    7.69,   21.59,   20.77
27.68951,85.36141,1995,09,17,    6.38,    5.70,   20.58,   20.04
27.68951,85.36141,1995,09,18,    6.22,    6.28,   20.00,   19.44
27.68951,85.36141,1995,09,19,    1.98,    6.72,   20.07,   19.53
27.68951,85.36141,1995,09,20,    9.07,    7.04,   20.69,   20.18
27.68951,85.36141,1995,09,21,    0.53,    6.64,   20.91,   20.07
27.68951,85.36141,1995,09,22,    0.14,    8.61,   21.57,   20.56
27.68951,85.36141,1995,09,23,    0.05,    8.57,   21.16,   20.29
27.68951,85.36141,1995,09,24,    0.28,    7.95,   20.74,   19.62
27.68951,85.36141,1995,09,25,    0.54,    7.98,   19.46,   18.89
27.68951,85.36141,1995,09,26,    1.68,    8.34,   19.82,   19.20
27.68951,85.36141,1995,09,27,    1.08,    9.25,   20.30,   19.41
27.68951,85.36141,1995,09,28,    2.16,    8.12,   20.44,   19.28
27.68951,85.36141,1995,09,29,    4.78,    6.44,   18.71,   18.02
27.68951,85.36141,1995,09,30,    0.55,    8.63,   19.18,   18.26
27.68951,85.36141,1995,10,01,    0.01,    8.29,   19.76,   18.75
27.68951,85.36141,1995,10,02,    0.00,    7.84,   19.90,   19.04
